Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					calculationAgentBusinessCenter		str	0..1	The city in which the office through which ISDA Calculation Agent is acting for purposes of the transaction is located The short-form confirm for a trade that is executed under a Sovereign or Asia Pacific Master Confirmation Agreement ( MCA ), does not need to specify the Calculation Agent. However, the confirm does need to specify the Calculation Agent City. This is due to the fact that the MCA sets the value for Calculation Agent but does not set the value for Calculation Agent City.	common_domain_model:calculationAgentBusinessCenter
CalculationAgentTerms		CalculationAgentTerms	Details of the party calculating the value of collateral to be delivered or returned.							
					party	CalculationAgentTerms_party	CalculationValuationAgentPartyEnum	0..1	The party which is specified as Calculation Agent for Initial Margin.	common_domain_model:party
					bespokeCalculationAgentTerms		str	0..1	The Calculation Agent (IM) terms when specified.	common_domain_model:bespokeCalculationAgentTerms
CalculationAndTimingBase		CalculationAndTimingBase	A logical container designed to hold a set of related data. In this case, designed to hold a set of clauses that are common amongst Legacy (1994/95), Variation Margin and Initial Margin Credit Support Documents in regards to Calculation, Valuation and Timing terms.							
					notificationTime		NotificationTime	1..1	The time by which a demand for the Transfer of Eligible Credit Support (IM) or Posted Credit Support (IM) needs to be made in order for the transfer to take place in accordance with the Transfer Timing provisions.	common_domain_model:notificationTime
CalculationAndTimingCollateralTransferAgreement	CalculationAndTimingBase	CalculationAndTimingCollateralTransferAgreement	Specification of the Calculation, Valuation and Timing terms specific to the Initial Margin Credit Support Annex.							
					calculationAgentTerms	CalculationAndTimingCollateralTransferAgreement_calculationAgentTerms	CalculationAgentTerms	1..1	Details of the party calculating the value of collateral to be delivered or returned.	common_domain_model:calculationAgentTerms
					bespokeCalculationDate		BespokeCalculationDate	0..1	The specification of bespoke Calculation Date terms for the purposes of Initial or Variation Margin by the parties to the agreement.	common_domain_model:bespokeCalculationDate
					bespokeCalculationTime		BespokeCalculationTime	0..1	Bespoke terms to describe the time as of which such party (or the Calculation Agent (IM) (if applicale)) computes its end of day valuations of derivatives transactions.	common_domain_model:bespokeCalculationTime
					calculationDateLocation	CalculationAndTimingCollateralTransferAgreement_calculationDateLocation	ValuationCalculationDateLocation	1..1	The specified location where the credit exposure will be calculated by the respective parties.	common_domain_model:calculationDateLocation
					cashSettlementDay		str	0..1		common_domain_model:cashSettlementDay
					securitiesSettlementDay		str	0..1		common_domain_model:securitiesSettlementDay
CalculationAndTimingInitialMargin	CalculationAndTimingBase	CalculationAndTimingInitialMargin	Specification of the Calculation, Valuation and Timing terms specific to the Initial Margin Credit Support Annex.							
					calculationAgentTerms		CalculationAgentTerms	1..1	Details of the party calculating the value of collateral to be delivered or returned.	common_domain_model:calculationAgentTerms
					bespokeCalculationDate		BespokeCalculationDate	0..1	The specification of bespoke Calculation Date terms for the purposes of Initial or Variation Margin by the parties to the agreement.	common_domain_model:bespokeCalculationDate
					bespokeCalculationTime		BespokeCalculationTime	0..1	Bespoke terms to describe the time as of which such party (or the Calculation Agent (IM) (if applicale)) computes its end of day valuations of derivatives transactions.	common_domain_model:bespokeCalculationTime
					calculationDateLocation		ValuationCalculationDateLocation	1..1	The specified location where the credit exposure will be calculated by the respective parties.	common_domain_model:calculationDateLocation
					cashSettlementDay		str	0..1		common_domain_model:cashSettlementDay
					securitiesSettlementDay		str	0..1		common_domain_model:securitiesSettlementDay
CalculationAndTimingLegacy	CalculationAndTimingBase	CalculationAndTimingLegacy	Specification of the Calculation, Valuation and Timing terms specific to the Legacy (1994/95) Credit Support Annex.							
					valuationDate		CSAValuationDate	1..1	Details of the days on which calculations are to be made to determine the Delivery Amount and/or Return Amount.	common_domain_model:valuationDate
					valuationTime		ValuationTime	1..1	Specifies the time on which the value of collateral or exposure are calculated in accordance with the agreement.	common_domain_model:valuationTime
					valuationAgent		ValuationAgent	1..1	Details of the party calculating the value of collateral to be delivered or returned.	common_domain_model:valuationAgent
CalculationAndTimingVariationMargin	CalculationAndTimingBase	CalculationAndTimingVariationMargin	Specification of the Calculation, Valuation and Timing terms specific to the Variation Margin Credit Support Annex.							
					valuationDate		CSAValuationDate	1..1	Details of the days on which calculations are to be made to determine the Delivery Amount and/or Return Amount.	common_domain_model:valuationDate
					valuationTime		ValuationTime	1..1	Specifies the time on which the value of collateral or exposure are calculated in accordance with the agreement.	common_domain_model:valuationTime
					valuationAgent	CalculationAndTimingVariationMargin_valuationAgent	ValuationAgent	1..1	Details of the party valuating the collateral to be delivered or returned.	common_domain_model:valuationAgent
					valuationDateLocation		ValuationCalculationDateLocation	1..1	The specified location where the credit exposure will be calculated by the respective parties.	common_domain_model:valuationDateLocation
CalculationCurrencyElection		CalculationCurrencyElection	A class to specify the ISDA SIMM Calculation Currency.							
					party	CalculationCurrencyElection_party	CounterpartyRoleEnum	1..1	The party which the SIMM Calculation Currency qualification applies to.	common_domain_model:party
					isBaseCurrency		Bool	1..1	The SIMM Calculation Currency (also known as SIMM Reporting Currency) means the Base Currency when True. It means a different currency when False. In that latter case, the SIMM Calculation Currency is specified as part of the currency attribute.	common_domain_model:isBaseCurrency
					currency	CalculationCurrencyElection_currency	str	0..1	The currency in which the ISDA SIMM Calculation is denominated, when different from the Base Currency. The list of valid currencies is not presently positioned as an enumeration as part of the CDM because that scope is limited to the values specified by ISDA and FpML. As a result, implementers have to make reference to the relevant standard, such as the ISO 4217 standard for currency codes.	common_domain_model:currency
CalculationFrequency		CalculationFrequency	Represents the parameters for describing how often something (such as collateral interest) is to be calculated.							
					period	CalculationFrequency_period	Period	1..1	Specifies the time period at which calculation is performed, e.g. 1 month.	common_domain_model:period
					monthOfYear		Decimal	0..1	Specifies the month of the year if used.	common_domain_model:monthOfYear
					dayOfMonth		Decimal	0..1	Specifies the day of the month if used.	common_domain_model:dayOfMonth
					dayOfWeek		DayOfWeekEnum	0..1	Specifies the day of the week if used.	common_domain_model:dayOfWeek
					weekOfMonth		Decimal	0..1	Specifies the week of the month if used.	common_domain_model:weekOfMonth
					offsetDays		Decimal	1..1	Specifies how many days from the trigger event should the payment occur.	common_domain_model:offsetDays
					dateLocation		BusinessCenterTime	1..1	Specifies where is the time measured.	common_domain_model:dateLocation
					businessCenter	CalculationFrequency_businessCenter	str	0..*	Specifies the business center for adjustment of calculation period.	common_domain_model:businessCenter
CalculationPeriod	CalculationPeriodBase	CalculationPeriod	A data defining:  the parameters used in the calculation of a fixed or floating rate calculation period amount. This data forms:  part of cashflows representation of a swap stream.							
					unadjustedStartDate		XSDDate	0..1	The calculation start date, unadjusted.	common_domain_model:unadjustedStartDate
					unadjustedEndDate		XSDDate	0..1	The calculation end date, unadjusted.	common_domain_model:unadjustedEndDate
					calculationPeriodNumberOfDays	CalculationPeriod_calculationPeriodNumberOfDays	int	1..1	The number of days from the adjusted effective / start date to the adjusted termination / end date calculated in accordance with the applicable day count fraction.	common_domain_model:calculationPeriodNumberOfDays
					notionalAmount		Decimal	0..1	The amount that a cashflow will accrue interest on.	common_domain_model:notionalAmount
					fxLinkedNotionalAmount		FxLinkedNotionalAmount	0..1	The amount that a cashflow will accrue interest on. This is the calculated amount of the FX linked - i.e. the other currency notional amount multiplied by the appropriate FX spot rate.	common_domain_model:fxLinkedNotionalAmount
					floatingRateDefinition		FloatingRateDefinition	0..1	The floating rate reset information for the calculation period.	common_domain_model:floatingRateDefinition
					fixedRate	CalculationPeriod_fixedRate	Decimal	1..1	The calculation period fixed rate. A per annum rate, expressed as a decimal. A fixed rate of 5% would be represented as 0.05.	common_domain_model:fixedRate
					dayCountYearFraction		Decimal	0..1	The year fraction value of the calculation period, result of applying the ISDA rules for day count fraction defined in the ISDA Annex.	common_domain_model:dayCountYearFraction
					forecastAmount		Money	0..1	The amount representing the forecast of the accrued value of the calculation period. An intermediate value used to generate the forecastPaymentAmount in the PaymentCalculationPeriod.	common_domain_model:forecastAmount
					forecastRate	CalculationPeriod_forecastRate	Decimal	0..1	A value representing the forecast rate used to calculate the forecast future value of the accrual period. This is a calculated rate determined based on averaging the rates in the rateObservation elements, and incorporates all of the rate treatment and averaging rules. A value of 1% should be represented as 0.01.	common_domain_model:forecastRate
CalculationPeriodBase		CalculationPeriodBase	The calculation period adjusted start and end dates, which are the baseline arguments needed to compute an interest accrual calculation.							
					adjustedStartDate		XSDDate	0..1	The calculation period start date, adjusted according to any relevant business day convention.	common_domain_model:adjustedStartDate
					adjustedEndDate		XSDDate	0..1	The calculation period end date, adjusted according to any relevant business day convention.	common_domain_model:adjustedEndDate
CalculationPeriodData		CalculationPeriodData								
					startDate		XSDDate	1..1	The first date of a date range.	common_domain_model:startDate
					endDate		XSDDate	1..1	The last date of a date range.	common_domain_model:endDate
					daysInPeriod		int	1..1		common_domain_model:daysInPeriod
					daysInLeapYearPeriod		int	1..1		common_domain_model:daysInLeapYearPeriod
					isFirstPeriod		Bool	1..1		common_domain_model:isFirstPeriod
					isLastPeriod		Bool	1..1		common_domain_model:isLastPeriod
CalculationPeriodDates		CalculationPeriodDates	A data for:  defining the parameters used to generate the calculation period dates schedule, including the specification of any initial or final stub calculation periods. A calculation period schedule consists of an optional initial stub calculation period, one or more regular calculation periods and an optional final stub calculation period. In the absence of any initial or final stub calculation periods, the regular part of the calculation period schedule is assumed to be between the effective date and the termination date. No implicit stubs are allowed, i.e. stubs must be explicitly specified using an appropriate combination of firstPeriodStartDate, firstRegularPeriodStartDate and lastRegularPeriodEndDate.							
					effectiveDate	CalculationPeriodDates_effectiveDate	AdjustableOrRelativeDate	0..1	The first day of the terms of the trade. This day may be subject to adjustment in accordance with a business day convention.	common_domain_model:effectiveDate
					terminationDate		AdjustableOrRelativeDate	0..1	The last day of the terms of the trade. This date may be subject to adjustments in accordance with the business day convention. It can also be specified in relation to another scheduled date (e.g. the last payment date).	common_domain_model:terminationDate
					calculationPeriodDatesAdjustments		BusinessDayAdjustments	0..1	The specification of the business day convention and financial business centers used for adjusting any calculation period date if it would otherwise fall on a day that is not a business day in the specified business center.	common_domain_model:calculationPeriodDatesAdjustments
					firstPeriodStartDate		AdjustableOrRelativeDate	0..1	The start date of the calculation period. FpML specifies that for interest rate swaps this date must only be specified if it is not equal to the effective date. It is always specified in the case of equity swaps and credit default swaps with periodic payments. This date may be subject to adjustment in accordance with a business day convention.	common_domain_model:firstPeriodStartDate
					firstRegularPeriodStartDate		XSDDate	0..1	The start date of the regular part of the calculation period schedule. It must only be specified if there is an initial stub calculation period. This day may be subject to adjustment in accordance with any adjustments specified in calculationPeriodDatesAdjustments.	common_domain_model:firstRegularPeriodStartDate
					firstCompoundingPeriodEndDate		XSDDate	0..1	The end date of the initial compounding period when compounding is applicable. It must only be specified when the compoundingMethod element is present and not equal to a value of None. This date may be subject to adjustment in accordance with any adjustments specified in calculationPeriodDatesAdjustments.	common_domain_model:firstCompoundingPeriodEndDate
					lastRegularPeriodEndDate		XSDDate	0..1	The end date of the regular part of the calculation period schedule. It must only be specified if there is a final stub calculation period. This day may be subject to adjustment in accordance with any adjustments specified in calculationPeriodDatesAdjustments.	common_domain_model:lastRegularPeriodEndDate
					stubPeriodType		StubPeriodTypeEnum	0..*	Method to allocate any irregular period remaining after regular periods have been allocated between the effective and termination date. The multiplicity of 2 allows the possibility of expressing the type for both an initial and final stub at the same time.	common_domain_model:stubPeriodType
					calculationPeriodFrequency		CalculationPeriodFrequency	0..1	The frequency at which calculation period end dates occur with the regular part of the calculation period schedule and their roll date convention.	common_domain_model:calculationPeriodFrequency
CalculationPeriodFrequency	Frequency	CalculationPeriodFrequency	A class to specify the frequency at which calculation period end dates occur within the regular part of the calculation period schedule and their roll date convention.							
					rollConvention		RollConventionEnum	1..1	The roll convention specifies the period term as part of a periodic schedule, i.e. the calculation period end date within the regular part of the calculation period. The value could be a rule, e.g. IMM Settlement Dates, which is the 3rd Wednesday of the month, or it could be a specific day of the month, such as the first day of the applicable month. It is used in conjunction with a frequency and the regular period start date of a calculation period.	common_domain_model:rollConvention
					balanceOfFirstPeriod		Bool	0..1	Indicates, when true, that that the first Calculation Period should run from the Effective Date to the end of the calendar period in which the Effective Date falls, e.g. Jan 15 - Jan 31 if the calculation periods are one month long and Effective Date is Jan 15. If false, the first Calculation Period should run from the Effective Date for one whole period, e.g. Jan 15 to Feb 14 if the calculation periods are one month long and Effective Date is Jan 15. Mostly used in Commmodity Swaps.	common_domain_model:balanceOfFirstPeriod
CalculationSchedule		CalculationSchedule	A class that allows the full representation of a payout by defining a set of schedule periods. It supports standard schedule customization by expressing all the dates, quantities, and pricing data in a non-parametric way.							
					schedulePeriod		SchedulePeriod	1..*	Defines a period of a calculation schedule structure.	common_domain_model:schedulePeriod
CalculationScheduleDeliveryPeriods	AssetDeliveryPeriods	CalculationScheduleDeliveryPeriods	Period and time profile over which the delivery takes place.							
					deliveryCapacity		Quantity	0..1	The number of units included in the transaction for each delivery interval	common_domain_model:deliveryCapacity
					priceTimeIntervalQuantity		Price	0..1	Price per quantity per delivery time interval.	common_domain_model:priceTimeIntervalQuantity
CalendarSpread		CalendarSpread	A type for defining a calendar spread feature.							
					expirationDateTwo		AdjustableOrRelativeDate	1..1		common_domain_model:expirationDateTwo
CancelableProvision	BuyerSeller	CancelableProvision	A data defining:  the right of a party to cancel a swap transaction on the specified exercise dates. The provision is for 'walk-away' cancellation (i.e. the fair value of the swap is not paid). A fee payable on exercise can be specified. As a difference from the FpML construct, the canonical model extends the BuyerSeller class.							
					exerciseNotice		ExerciseNotice	0..1	Definition of the party to whom notice of exercise should be given.	common_domain_model:exerciseNotice
					followUpConfirmation		Bool	1..1	A flag to indicate whether follow-up confirmation of exercise (written or electronic) is required following telephonic notice by the buyer to the seller or seller's agent.	common_domain_model:followUpConfirmation
					cancelableProvisionAdjustedDates		CancelableProvisionAdjustedDates	0..1	The adjusted dates associated with a cancelable provision. These dates have been adjusted for any applicable business day convention.	common_domain_model:cancelableProvisionAdjustedDates
					finalCalculationPeriodDateAdjustment		FinalCalculationPeriodDateAdjustment	0..*	Business date convention adjustment to final payment period per leg (swapStream) upon exercise event. The adjustments can be made in-line with leg level BDC's or they can be specified separately.	common_domain_model:finalCalculationPeriodDateAdjustment
					initialFee		Transfer	0..1	An initial fee for the cancelable option.	common_domain_model:initialFee
					callingParty		CallingPartyEnum	0..1	The party with right to exercise a cancellation. Allows for buyer, seller or either.	common_domain_model:callingParty
					earliestDate		AdjustableOrRelativeDate	0..1	The first day when cancelation is permitted to take effect. A party may give notice prior to this date and taken together with the effective period would be necessary to cancel on this date.	common_domain_model:earliestDate
					expirationDate		AdjustableOrRelativeDate	0..1	The last day within the term of the contract that cancelation is allowed.	common_domain_model:expirationDate
					effectiveDate	CancelableProvision_effectiveDate	AdjustableOrRelativeDates	0..1	The effective date if cancelation is invoked otherwise the cancellation period defines the cancellation date.	common_domain_model:effectiveDate
					effectivePeriod		Period	0..1	Effective period for cancelation when notice is given. This is the period after notice is given that cancellation becomes effecticve.	common_domain_model:effectivePeriod
					earliestCancellationTime		BusinessCenterTime	0..1	The earliest time in a business day that notice of cancelation can be given.	common_domain_model:earliestCancellationTime
					latestCancelationTime		BusinessCenterTime	0..1	The latest time at which notice of cancelation can be given.	common_domain_model:latestCancelationTime
					exerciseTerms	CancelableProvision_exerciseTerms	ExerciseTerms	1..1	The exercise terms associated with the cancelable provision, including details such as exercise style, exercise fees, and any other relevant conditions or terms governing the cancellation of the swap transaction.	common_domain_model:exerciseTerms
CancelableProvisionAdjustedDates		CancelableProvisionAdjustedDates	A data to:  define the adjusted dates for a cancelable provision on a swap transaction.							
					cancellationEvent		CancellationEvent	1..*	The adjusted dates for an individual cancellation date.	common_domain_model:cancellationEvent
CancellationEvent		CancellationEvent	The adjusted dates for a specific cancellation date, including the adjusted exercise date and adjusted termination date.							
					adjustedExerciseDate	CancellationEvent_adjustedExerciseDate	XSDDate	1..1	The date on which option exercise takes place. This date should already be adjusted for any applicable business day convention.	common_domain_model:adjustedExerciseDate
					adjustedEarlyTerminationDate		XSDDate	1..1	The early termination date that is applicable if an early termination provision is exercised. This date should already be adjusted for any applicable business day convention.	common_domain_model:adjustedEarlyTerminationDate
Cash	AssetBase	Cash	An Asset that consists solely of a monetary holding in a currency. The currency of the Cash asset is held in the string Identifier (from AssetBase) and the AssetIdTypeEnum must be set to define that a CurrencyCode is set.  The function SetCashCurrency can be used to create (or update) a Cash object and the function GetCashCurrency can be used to retrieve the currency of a Cash object.							
CashCollateralValuationMethod		CashCollateralValuationMethod	This type is a generic structure that can represent the parameters of several mid-market valuation and replacement value methods described in the 2021 ISDA Definitions.							
					applicableCsa		CsaTypeEnum	0..1	This may be used to specify what type of CSA (credit support annex/agreement) is to be used for cash settlement purposes.	common_domain_model:applicableCsa
					cashCollateralCurrency		str	0..1	This may be used to indicate the currency of cash collateral for cash settlement purposes.	common_domain_model:cashCollateralCurrency
					cashCollateralInterestRate		str	0..1	This may be used to indicate the interest rate to be used for cash collateral for cash settlement purposes.	common_domain_model:cashCollateralInterestRate
					agreedDiscountRate		str	0..1	This may be used to indicate the discount rate to be used for cash collateral for cash settlement purposes.	common_domain_model:agreedDiscountRate
					protectedParty		PartyDeterminationEnum	0..*	This may be used to specify which party is protected (e.g. under Replacement Value cash settlement methods).	common_domain_model:protectedParty
					prescribedDocumentationAdjustment		Bool	0..1	This may be used to indicate that 'prescribed documentation adjustment' is applicable.	common_domain_model:prescribedDocumentationAdjustment
CashflowRepresentation		CashflowRepresentation	A data defining:  the cashflow representation of a swap trade.							
					cashflowsMatchParameters		Bool	1..1	A true/false flag to indicate whether the cashflows match the parametric definition of the stream, i.e. whether the cashflows could be regenerated from the parameters without loss of information.	common_domain_model:cashflowsMatchParameters
					paymentCalculationPeriod		PaymentCalculationPeriod	0..*	The adjusted payment date and associated calculation period parameters required to calculate the actual or projected payment amount. A list of payment calculation period elements may be ordered in the document by ascending adjusted payment date. An FpML document containing an unordered list of payment calculation periods is still regarded as a conformant document.	common_domain_model:paymentCalculationPeriod
CashSettlementTerms		CashSettlementTerms	Defines the terms required to compute and settle a cash settlement amount according to a fixing value, including the fixing source, fixing method and fixing date. In FpML, PhysicalSettlementTerms and CashSettlementTerms extend SettlementTerms. In the CDM, this extension paradigm has not been used because SettlementTerms class has been used for purposes related to securities transactions, while it is not used as such in the FpML standard (i.e. only as an abstract construct.							
					cashSettlementMethod		CashSettlementMethodEnum	0..1	Specifies the type of cash settlement method: cash price, yield curve etc.	common_domain_model:cashSettlementMethod
					valuationMethod	CashSettlementTerms_valuationMethod	ValuationMethod	0..1	Specifies the parameters required to obtain a valuation, including the source, quotation method (bid, mid etc.) and any applicable quotation amount.	common_domain_model:valuationMethod
					valuationDate	CashSettlementTerms_valuationDate	ValuationDate	1..1	Defines the different methods to specify a valuation date, as used for cash settlement. The Single / Multiple ValuationDate is used for the determination of recovery in a credit event, the RelativeDateOffset is used for cash-settled option, and FxFixingDate is used for cross-currency settlement.	common_domain_model:valuationDate
					valuationTime	CashSettlementTerms_valuationTime	BusinessCenterTime	1..1	The time of the cash settlement valuation date when the cash settlement amount will be determined according to the cash settlement method, if the parties have not otherwise been able to agree the cash settlement amount. When using quations, this is the time of day in the specified business center when the calculation agent seeks quotations for an amount of the reference obligation for purposes of cash settlement. ISDA 2003 Term: Valuation Time.	common_domain_model:valuationTime
					cashSettlementAmount		Money	0..1	The amount paid by the seller to the buyer for cash settlement on the cash settlement date. If not otherwise specified, would typically be calculated as 100 (or the Reference Price) minus the price of the Reference Obligation (all expressed as a percentage) times Floating Rate Payer Calculation Amount. ISDA 2003 Term: Cash Settlement Amount.	common_domain_model:cashSettlementAmount
					recoveryFactor		Decimal	0..1	Used for fixed recovery, specifies the recovery level, determined at contract formation, to be applied on a default. Used to calculate the amount paid by the seller to the buyer for cash settlement on the cash settlement date. Amount calculation is (1 minus the Recovery Factor) multiplied by the Floating Rate Payer Calculation Amount. The currency will be derived from the Floating Rate Payer Calculation Amount.	common_domain_model:recoveryFactor
					fixedSettlement		Bool	0..1	Used for Recovery Lock, to indicate whether fixed Settlement is Applicable or Not Applicable. If Buyer fails to deliver an effective Notice of Physical Settlement on or before the Buyer NOPS Cut-off Date, and if Seller fails to deliver an effective Seller NOPS on or before the Seller NOPS Cut-off Date, then either: (a) if Fixed Settlement is specified in the related Confirmation as not applicable, then the Seller NOPS Cut-off Date shall be the Termination Date; or (b) if Fixed Settlement is specified in the related Confirmation as applicable, then: (i) if the Fixed Settlement Amount is a positive number, Seller shall, subject to Section 3.1 (except for the requirement of satisfaction of the Notice of Physical Settlement Condition to Settlement), pay the Fixed Settlement Amount to Buyer on the Fixed Settlement Payment Date; and (ii) if the Fixed Settlement Amount is a negative number, Buyer shall, subject to Section 3.1 (except for the requirement of satisfaction of the Notice of Physical Settlement Condition to Settlement), pay the absolute value of the Fixed Settlement Amount to Seller on the Fixed Settlement Payment Date.	common_domain_model:fixedSettlement
					accruedInterest		Bool	0..1	Indicates whether accrued interest is included (true) or not (false). For cash settlement this specifies whether quotations should be obtained inclusive or not of accrued interest. For physical settlement this specifies whether the buyer should deliver the obligation with an outstanding principal balance that includes or excludes accrued interest. ISDA 2003 Term: Include/Exclude Accrued Interest.	common_domain_model:accruedInterest
CheckEligibilityResult		CheckEligibilityResult	Result for the CheckEligibilityByDetails and CheckEligibilityForProduct functions							
					isEligible		Bool	1..1	a simple boolean which is set to true if the asset described in the EligibilityQuery input is eligible	common_domain_model:isEligible
					matchingEligibleCriteria		EligibleCollateralCriteria	0..*	if there was a match, this will be the one or more criteria that were supplied in the EligbilityCollateralSpecification which matched with the query input	common_domain_model:matchingEligibleCriteria
					eligibilityQuery		EligibilityQuery	1..1	a copy of the input query that was checked against the eligible collateral specification	common_domain_model:eligibilityQuery
					specification		EligibleCollateralSpecification	1..1	a copy of the input EligbilityCollateralSpecification that was checked against the query	common_domain_model:specification
Clause		Clause	A type for documenting additional clause that cannot yet be represented with the model and yet needed for a digital representation of the agreement.							
					identifier	Clause_identifier	str	1..*	The  name or identifier associated to this clause.	common_domain_model:identifier
					terms		str	0..1	Content of this bespoke clause.	common_domain_model:terms
					subcomponents		Clause	0..*	Additional hierarchical components of the clause if relevant.	common_domain_model:subcomponents
ClearingInstruction		ClearingInstruction	All information required to perform the clear life cycle event; the clearing party (CCP), the two parties facing each other on the alpha contract, and optionally the parties acting as clearing members.							
					alphaContract		TradeState	1..1	The contract that will be submitted to the clearing house for clearing. The contract should indicate that it should be cleared by assigning a clearing organisation as a party role.	common_domain_model:alphaContract
					clearingParty		Party	1..1	The Central Counter party (CCP) that the contract will be submitted to for clearing.	common_domain_model:clearingParty
					party1		Party	1..1	First party facing the CCP if it is clearing for its own account.	common_domain_model:party1
					party2		Party	1..1	Second party facing the CCP if it is clearing for its own account.	common_domain_model:party2
					clearerParty1		Party	0..1	Optional party facing the CCP, acting as clearing member for party1.	common_domain_model:clearerParty1
					clearerParty2		Party	0..1	Optional party facing the CCP, acting as clearing member for party2.	common_domain_model:clearerParty2
					isOpenOffer		Bool	0..1	Open Offer	common_domain_model:isOpenOffer
ClosedState		ClosedState	 A class to qualify the closed state of an execution or a contract through the combination or a state (e.g. terminated, novated) and a set of dates: activity date, effective date and, when relevant, last payment date.							
					state	ClosedState_state	ClosedStateEnum	1..1	The qualification of what gave way to the contract or execution closure, e.g. allocation, termination, ...	common_domain_model:state
					activityDate		XSDDate	1..1	The activity date on which the closing state took place, i.e. either the event date of the closing event (e.g. option exercise, contract early termination) or the contractual termination date.	common_domain_model:activityDate
					effectiveDate	ClosedState_effectiveDate	XSDDate	0..1	The date on which the closing event contractually takes effect, when different from the activity date. When an explicit event effective date attribute is associated with the closing event, it will be that date. In the case of a cancellation event, it will be the date on which the cancelled event took place.	common_domain_model:effectiveDate
					lastPaymentDate		XSDDate	0..1	The date associated with the last payment in relation to the artefact (e.g. contract) to which this closed state applies. As an example, in the case of an early termination event, it would be the settlement date of the associated fee, if applicable.	common_domain_model:lastPaymentDate
CodeList		CodeList	A type hold a list of codes for business data validation							
					identification		CodeListIdentification	1..1	Identification information about the code list	common_domain_model:identification
					codes		CodeValue	0..*	Code values	common_domain_model:codes
CodeListIdentification		CodeListIdentification	A type to identify the version of a codelist							
					description	CodeListIdentification_description	str	0..1	A description  of the code list, e.g. A list of codes identifying business centers	common_domain_model:description
					publicationDate		str	0..1	The most recent date the code list was published, e.g. 2021-10-05	common_domain_model:publicationDate
					shortName		str	1..1	A short name (without whitespace) for the code list, e.g. businessCenterScheme	common_domain_model:shortName
					version		str	1..1	The the most recent version of the codelist, eg. 9-1	common_domain_model:version
					codeShortId		str	0..1	The name of the code list, e.g. business-center	common_domain_model:codeShortId
					canonicalUri		str	1..1	Canonical URI which uniquely identifies all versions (collectively) of the referenced code list. Must be an absolute URI. Must not be used as a de facto location URI.	common_domain_model:canonicalUri
					canonicalVersionUri		str	0..1	Canonical URI which uniquely identifies a specific version of the referenced code list. Must be an absolute URI. Must not be used as a de facto location URI.	common_domain_model:canonicalVersionUri
					locationUri		str	0..1	Suggested retrieval location for this version, in genericode format. An application must signal an error to the user if a document retrieved using a LocationUri is not in genericode format.	common_domain_model:locationUri
CodeValue		CodeValue	A type to hold the value of the code in a codelist							
					value	CodeValue_value	str	1..1	The value of the code, e.g. USNY	common_domain_model:value
					description	CodeValue_description	str	0..1	A description of the meaning of the code, e.g. New York City, USA	common_domain_model:description
					source	CodeValue_source	str	1..1	Where the code was defined,e.g. ISDA, FpML, Bloomberg	common_domain_model:source
					effectiveDate		XSDDate	0..1	When the code became/becomes effective	common_domain_model:effectiveDate
					deprecatedDate		XSDDate	0..1	When the code ceased to be valid for new uses	common_domain_model:deprecatedDate
Collateral		Collateral	A type for defining the obligations of the counterparty subject to credit support requirements.							
					independentAmount	Collateral_independentAmount	IndependentAmount	1..1	Independent Amount is an amount that usually less creditworthy counterparties are asked to provide. It can either be a fixed amount or a percentage of the Transaction's value. The Independent Amount can be: (i) transferred before any trading between the parties occurs (as a deposit at a third party's account or with the counterparty) or (ii) callable after trading has occurred (typically because a downgrade has occurred). In situation (i), the Independent Amount is not included in the calculation of Exposure, but in situation (ii), it is included in the calculation of Exposure. Thus, for situation (ii), the Independent Amount may be transferred along with any collateral call. Independent Amount is a defined term in the ISDA Credit Support Annex. ('with respect to a party, the amount specified as such for that party in Paragraph 13; if no amount is specified, zero').	common_domain_model:independentAmount
					portfolioIdentifier	Collateral_portfolioIdentifier	Identifier	0..*	A list of identifiers pointing to the collateral portfolios which contain the collateral which covers a trade.	common_domain_model:portfolioIdentifier
					collateralPortfolio	Collateral_collateralPortfolio	CollateralPortfolio	0..*	The collateral portfolios which contain the collateral which covers a trade. (NB: this can be provided by reference to a global key for each CollateralPortfolio object)	common_domain_model:collateralPortfolio
					collateralProvisions		CollateralProvisions	0..1	specifies the collateral provisions of the product.	common_domain_model:collateralProvisions
CollateralAccessBreach		CollateralAccessBreach	A class to specify Collateral Access Breach language.							
					isApplicable	CollateralAccessBreach_isApplicable	Bool	1..1	Collateral Access Breach terms are applicable when True and not applicable when False.	common_domain_model:isApplicable
					cabEndDateElection		Bool	0..1	Determination of whether the Collateral Access Breach end date is a number of days (True) or specified (False).	common_domain_model:cabEndDateElection
					cabEndDate		Decimal	0..1	The business days following the related Collateral Access Breach when the additional terms end.	common_domain_model:cabEndDate
					cabEndDateTerms		str	0..1	Specific terms for when Collateral Access Breach terms end.	common_domain_model:cabEndDateTerms
CollateralAgreementFloatingRate	FloatingRateBase	CollateralAgreementFloatingRate	Represents the parameters needed to calculate the floating rate paid on collateral holdings.							
					negativeInterest		Bool	1..1	Specifies how negative rates should be applied.  If rates go negative, should the payment be reversed (true) or zeroed out (false)?	common_domain_model:negativeInterest
