Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					applicableParty		CounterpartyRoleEnum	1..*	Whether the additional termination event is applicable for the relevant party.	common_domain_model:applicableParty
AdditionalType		AdditionalType	The specification of the Additional Type of transaction that can require the collection or delivery of initial margin under a given regulatory regime for the purposes of Covered Transactions.							
					standardValue		AdditionalTypeEnum	1..1	The qualification of the Additional Type of transaction that can require the collection or delivery of initial margin when specified as a standard value.	common_domain_model:standardValue
					customValue		str	0..1	The qualification of the Additional Type of transaction that can require the collection or delivery of initial margin when specified as a custom value by the parties to the legal agreement.	common_domain_model:customValue
Address		Address	A class to specify a post or street address.							
					street		str	1..*	The set of street and building number information that identifies a postal address within a city.	common_domain_model:street
					city		str	0..1	The city component of the postal address.	common_domain_model:city
					state		str	0..1	A country subdivision used in postal addresses in some countries. For example, US states, Canadian provinces, Swiss cantons, ...	common_domain_model:state
					country		str	0..1	The ISO 3166 standard code for the country within which the postal address is located.	common_domain_model:country
					postalCode		str	0..1	The code, required for computerized mail sorting systems, that is allocated to a physical address by a national postal authority.	common_domain_model:postalCode
AddressesForTransfer		AddressesForTransfer	Specifies the address for transfer as specified by the respective parties to the agreement.							
					partyElection	AddressesForTransfer_partyElection	TransferInformationElection	1..*	The parties' contact and transfer information election.	common_domain_model:partyElection
AddtlAttrbts		AddtlAttrbts								
					rskRdcgTx		str	1..1		common_domain_model:rskRdcgTx
					sctiesFincgTxInd		str	1..1		common_domain_model:sctiesFincgTxInd
AdjustableDate		AdjustableDate	A class for defining a date that shall be subject to adjustment if it would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the date.							
					unadjustedDate		XSDDate	0..1	A date subject to adjustment. While in FpML this date is required, this cardinality constraint has been relaxed as part of the CDM in order to support the FRA representation, which effective and termination dates are specified in FpML as adjusted dates.	common_domain_model:unadjustedDate
					dateAdjustments		BusinessDayAdjustments	0..1	The business day convention and financial business centers used for adjusting the date if it would otherwise fall on a day that is not a business date in the specified business centers.	common_domain_model:dateAdjustments
					dateAdjustmentsReference		BusinessDayAdjustments	0..1	A pointer style reference to date adjustments defined elsewhere in the document.	common_domain_model:dateAdjustmentsReference
					adjustedDate		XSDDate	0..1	The date once the adjustment has been performed. (Note that this date may change if the business center holidays change).	common_domain_model:adjustedDate
AdjustableDates		AdjustableDates	A class for defining a series of dates that shall be subject to adjustment if they would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the dates.							
					unadjustedDate	AdjustableDates_unadjustedDate	XSDDate	0..*	A date subject to adjustment.	common_domain_model:unadjustedDate
					dateAdjustments		BusinessDayAdjustments	0..1	The business day convention and financial business centers used for adjusting the date if it would otherwise fall on a day that is not a business date in the specified business centers.	common_domain_model:dateAdjustments
					adjustedDate	AdjustableDates_adjustedDate	XSDDate	0..*	The date(s) once the adjustment has been performed. (Note that this date may change if the business center holidays change).	common_domain_model:adjustedDate
AdjustableOrAdjustedDate		AdjustableOrAdjustedDate	A class for defining a date that shall be subject to adjustment if it would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the date.							
					unadjustedDate	AdjustableOrAdjustedDate_unadjustedDate	XSDDate	0..1	A date subject to adjustment.	common_domain_model:unadjustedDate
					dateAdjustments		BusinessDayAdjustments	0..1	The business day convention and financial business centers used for adjusting the date if it would otherwise fall on a day that is not a business date in the specified business centers.	common_domain_model:dateAdjustments
					adjustedDate		XSDDate	0..1	The date once the adjustment has been performed. (Note that this date may change if the business center holidays change).	common_domain_model:adjustedDate
AdjustableOrAdjustedOrRelativeDate		AdjustableOrAdjustedOrRelativeDate	This Rosetta class specifies the date as either an unadjusted, adjusted or relative date. It supplements the features of the AdjustableOrAdjustedDate to support the credit default swap option premium, which uses the relative date construct.							
					unadjustedDate	AdjustableOrAdjustedOrRelativeDate_unadjustedDate	XSDDate	0..1	A date subject to adjustment.	common_domain_model:unadjustedDate
					dateAdjustments		BusinessDayAdjustments	0..1	The business day convention and financial business centers used for adjusting the date if it would otherwise fall on a day that is not a business date in the specified business centers.	common_domain_model:dateAdjustments
					adjustedDate		XSDDate	0..1	The date once the adjustment has been performed. (Note that this date may change if the business center holidays change).	common_domain_model:adjustedDate
					relativeDate		RelativeDateOffset	0..1	A date specified as some offset to another date (the anchor date).	common_domain_model:relativeDate
AdjustableOrRelativeDate		AdjustableOrRelativeDate	A class giving the choice between defining a date as an explicit date together with applicable adjustments or as relative to some other (anchor) date.							
					adjustableDate		AdjustableDate	0..1	A date that shall be subject to adjustment if it would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the date.	common_domain_model:adjustableDate
					relativeDate	AdjustableOrRelativeDate_relativeDate	AdjustedRelativeDateOffset	0..1	A date specified as some offset to another date (the anchor date).	common_domain_model:relativeDate
AdjustableOrRelativeDates		AdjustableOrRelativeDates	A class giving the choice between defining a series of dates as an explicit list of dates together with applicable adjustments or as relative to some other series of (anchor) dates.							
					adjustableDates		AdjustableDates	0..1	A series of dates that shall be subject to adjustment if they would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the date.	common_domain_model:adjustableDates
					relativeDates		RelativeDates	0..1	A series of dates specified as some offset to another series of dates (the anchor dates).	common_domain_model:relativeDates
AdjustableRelativeOrPeriodicDates		AdjustableRelativeOrPeriodicDates	A class giving the choice between defining a series of dates as an explicit list of dates together with applicable adjustments or as relative to some other series of (anchor) dates, or as a calculation period schedule.							
