id,mappings,description
AvailableInventory,,"A data type that can be used to describe the inventory of securities that a party holds. The securities are held in the AvailableInventoryRecord, with each item in the array being an individual security and its associated criteria. Criteria can include the quantity available, the rate at which the security is available to borrow at, as well as other details that can affect the decision as to whether a party wants to utilise the securities listed."
AvailableInventoryRecord,,An individual piece of available inventory. This represents a single security and its associated criteria. The criteria are used to describe any restrictions on the securities.
AverageTradingVolume,,Represents the average trading volume of an Equity product upon an exchange or set of exchanges.
AveragingCalculation,,Defines parameters for use in cases when a valuation or other term is based on an average of market observations.
AveragingCalculationMethod,,Defines the ways in which multiple values can be aggregated into a single value.
AveragingFeature,,As per ISDA 2002 Definitions.
AveragingObservationList,,An unordered list of weighted averaging observations.
AveragingPeriod,,Period over which an average value is taken.
AveragingSchedule,,Class to representing a method for generating a series of dates.
AveragingStrikeFeature,,Defines the terms required to calculate the average observations associated with an averaging strike.
Barrier,,As per ISDA 2002 Definitions.
BaseAndEligibleCurrency,,The base and eligible currency(ies) for the document as specified by the parties to the agreement.
BaseCurrency,,The definitions regarding base currency determinations relating to the GMSLA.
Basket,,Defines a custom basket by referencing an identifier and its constituents.
BasketConstituent,,Identifies the constituents of the basket
BasketReferenceInformation,,CDS Basket Reference Information.
BespokeCalculationDate,,A class to specify bespoke Calculation Date terms for the purposes of Initial Margin.
BespokeCalculationTime,,A class to specify additional Calculation Time terms for the purposes of Initial Margin.
BespokeTransferTiming,,A class to specify any bespoke Transfer Timing language by each party to the agreement.
BillingInstruction,,Specifies the instructions for creation of a Security Lending billing invoice.
BillingRecord,,Specifies individual records within a billing invoice.
BillingRecordInstruction,,Specifies the instructions for creation of a billing record.
BillingSummary,,Specifies individual summaries within a billing invoice.
BillingSummaryInstruction,,Specifies the instructions for creation of a billing summary.
BondReference,,Reference to a bond underlier to represent an asset swap or Condition Precedent Bond.
BoundedCorrelation,,"Describes correlation bounds, which form a cap and a floor on the realized correlation."
BoundedVariance,,
BrokerConfirmation,,Identifies the market sector in which the trade has been arranged.
BusinessCenters,,"A class for specifying the business day calendar location used in determining whether a day is a business day or not, either by specifying this business center by reference to an enumerated list that is maintained by the FpML standard, or by reference to such specification when it exists elsewhere as part of the instance document. This class corresponds to the FpML BusinessCentersOrReference.model."
BusinessCenterTime,,"A class for defining a time with respect to a business day calendar location. For example, 11:00:00 GBLO."
BusinessDateRange,,"A class defining a range of contiguous business days by defining an unadjusted first date, an unadjusted last date and a business day convention and business centers for adjusting the first and last dates if they would otherwise fall on a non business day in the specified business centers. The days between the first and last date must also be good business days in the specified centers to be counted in the range."
BusinessDayAdjustments,,A class defining the business day convention and financial business centers used for adjusting any relevant date if it would otherwise fall on a day that is not a business day in the specified business center.
BusinessDayOffset,,"This allows an offset to be specified as, for instance, N business days, with a business centers specified as included."
BusinessEvent,,A business event represents a life cycle event of a trade. The combination of the state changes results in a qualifiable life cycle event. An example of a Business Event is a PartialTermination which is a defined by a quantity change primitive event.
BusinessUnit,,A class to specify an organizational unit.
BuyerSeller,,This class corresponds to the FpML BuyerSeller.model construct.
Buyr,,
CalculatedRateDetails,,"Type for reporting details of calculated rates, including the observations that went into the final reported rate."
CalculatedRateObservationDatesAndWeights,,Type for reporting the observations dates and the corresponding weights going into a daily calculated rate
CalculatedRateObservations,,Type for reporting observations that went into the final reported rate.
CalculateTransferInstruction,,Defines the tradeState or payout on which to create a Transfer along with all necessary resets.
CalculationAgent,,A class defining the ISDA calculation agent responsible for performing duties as defined in the applicable product definitions.
CalculationAgentTerms,,Details of the party calculating the value of collateral to be delivered or returned.
CalculationAndTimingBase,,"A logical container designed to hold a set of related data. In this case, designed to hold a set of clauses that are common amongst Legacy (1994/95), Variation Margin and Initial Margin Credit Support Documents in regards to Calculation, Valuation and Timing terms."
CalculationAndTimingCollateralTransferAgreement,,"Specification of the Calculation, Valuation and Timing terms specific to the Initial Margin Credit Support Annex."
CalculationAndTimingInitialMargin,,"Specification of the Calculation, Valuation and Timing terms specific to the Initial Margin Credit Support Annex."
CalculationAndTimingLegacy,,"Specification of the Calculation, Valuation and Timing terms specific to the Legacy (1994/95) Credit Support Annex."
CalculationAndTimingVariationMargin,,"Specification of the Calculation, Valuation and Timing terms specific to the Variation Margin Credit Support Annex."
CalculationCurrencyElection,,A class to specify the ISDA SIMM Calculation Currency.
CalculationFrequency,,Represents the parameters for describing how often something (such as collateral interest) is to be calculated.
CalculationPeriod,,A data defining:  the parameters used in the calculation of a fixed or floating rate calculation period amount. This data forms:  part of cashflows representation of a swap stream.
CalculationPeriodBase,,"The calculation period adjusted start and end dates, which are the baseline arguments needed to compute an interest accrual calculation."
CalculationPeriodData,,
CalculationPeriodDates,,"A data for:  defining the parameters used to generate the calculation period dates schedule, including the specification of any initial or final stub calculation periods. A calculation period schedule consists of an optional initial stub calculation period, one or more regular calculation periods and an optional final stub calculation period. In the absence of any initial or final stub calculation periods, the regular part of the calculation period schedule is assumed to be between the effective date and the termination date. No implicit stubs are allowed, i.e. stubs must be explicitly specified using an appropriate combination of firstPeriodStartDate, firstRegularPeriodStartDate and lastRegularPeriodEndDate."
CalculationPeriodFrequency,,A class to specify the frequency at which calculation period end dates occur within the regular part of the calculation period schedule and their roll date convention.
CalculationSchedule,,"A class that allows the full representation of a payout by defining a set of schedule periods. It supports standard schedule customization by expressing all the dates, quantities, and pricing data in a non-parametric way."
CalculationScheduleDeliveryPeriods,,Period and time profile over which the delivery takes place.
CalendarSpread,,A type for defining a calendar spread feature.
CancelableProvision,,"A data defining:  the right of a party to cancel a swap transaction on the specified exercise dates. The provision is for 'walk-away' cancellation (i.e. the fair value of the swap is not paid). A fee payable on exercise can be specified. As a difference from the FpML construct, the canonical model extends the BuyerSeller class."
CancelableProvisionAdjustedDates,,A data to:  define the adjusted dates for a cancelable provision on a swap transaction.
CancellationEvent,,"The adjusted dates for a specific cancellation date, including the adjusted exercise date and adjusted termination date."
Cash,,An Asset that consists solely of a monetary holding in a currency. The currency of the Cash asset is held in the string Identifier (from AssetBase) and the AssetIdTypeEnum must be set to define that a CurrencyCode is set.  The function SetCashCurrency can be used to create (or update) a Cash object and the function GetCashCurrency can be used to retrieve the currency of a Cash object.
CashCollateralValuationMethod,,This type is a generic structure that can represent the parameters of several mid-market valuation and replacement value methods described in the 2021 ISDA Definitions.
CashflowRepresentation,,A data defining:  the cashflow representation of a swap trade.
