id,mappings,description
EquitySwapMasterConfirmation2018,,Specification for the General Terms and Relationship Supplement Elections as provided in the 2018 ISDA CDM Equity Confirmation for Security Equity Swap.
EquityType,,
EquityUnderlierProvisions,,
EscrowArrangement,,Refers to the segregation deposit procedure parties may want to commmit into during the time a Disruption Event is effective
EventCurrency,,Defines the currency referenced as such in any terms related to FX Disruption Events
EventInstruction,,Specifies instructions to create a BusinessEvent.
EventsOfDefault,,The definitions regarding any different events of default relating to the GMSLA.
EventsOfDefaultElection,,The specific party elections for events of default.
EventTimestamp,,"A class to represent the various set of timestamps that can be associated with lifecycle events, as a collection of [dateTime, qualifier]."
EvergreenProvision,,Specifies a transaction which automatically extends for a specified timeframe until the exercise of an embedded option.
ExcludedProducts,,Description of the relevant derivative transactions excluded from the calculation of exposure.
ExctgPrsn,,
ExecutionDetails,,Defines specific attributes that relate to trade executions.
ExecutionInstruction,,"Specifies instructions for execution of a transaction, consisting of a product, price, quantity, parties, trade identifier, execution details, and settlement terms."
ExecutionLanguage,,A class to specify execution language terms of a Security Agreement.
ExecutionLocation,,A class to specify execution location terms of a Security Agreement.
ExecutionTerms,,A class to specify execution location and language of execution to determine duty to be paid.
ExerciseEvent,,A data defining:  the adjusted dates associated with a particular exercise event.
ExerciseFee,,"A class defining the fee payable on exercise of an option. This fee may be defined as an amount or a percentage of the notional exercised. As a difference with FpML, it extends the BuyerSeller class."
ExerciseFeeSchedule,,"A class to define a fee or schedule of fees to be payable on the exercise of an option. This fee may be defined as an amount or a percentage of the notional exercised. As a difference with FpML, it extends the BuyerSeller class."
ExerciseInstruction,,"Specifies the information required to communicate the choices made by the exercising party, in a financial product endowing the party with at least one option."
ExerciseNotice,,"Defines to whom and where notice of execution should be given. The exerciseNoticeGiver refers to one or both of the principal parties of the trade. If present the exerciseNoticeReceiver refers to a party, other than the principal party, to whom notice should be given."
ExercisePeriod,,"This defines the time interval to the start of the exercise period, i.e. the earliest exercise date, and the frequency of subsequent exercise dates (if any)."
ExerciseProcedure,,A class describing how notice of exercise should be given. This can be either manual or automatic.
ExerciseTerms,,A class defining the exercise period for an option together with any rules governing the notional amount of the underlying which can be exercised on any given exercise date and any associated exercise fees.
Exposure,,Represents the current mark to market value or IM calculation value of the trade portfolio as recorded by the principle (in base currency).
ExposureScope,,"Optionally, for each party, specifies the amendments to the included coverage in the calculation of Exposure."
ExtendibleProvision,,"A data defining:  an option to extend an existing swap transaction on the specified exercise dates for a term ending on the specified new termination date. As a difference from FpML, it extends the BuyerSeller class, which represents the BuyerSeller.model."
ExtendibleProvisionAdjustedDates,,A data defining:  the adjusted dates associated with a provision to extend a swap.
ExtensionEvent,,A data to:  define the adjusted dates associated with an individual extension event.
ExtraordinaryEvents,,"Where the underlying is shares, defines market events affecting the issuer of those shares that may require the terms of the transaction to be adjusted."
FailureToPay,,
FallbackRateParameters,,Defines the structure needed to represent fallback rate parameters. This type is used to represent modular computed rates in interestRatePayouts.
FallbackReferencePrice,,"The method, prioritised by the order it is listed in this element, to get a replacement rate for the disrupted settlement rate option."
FeaturePayment,,Payment made following trigger occurrence.
FinalCalculationPeriodDateAdjustment,,A data to:  define business date convention adjustment to final payment period per leg.
FinalReturns,,A clause providing that final return collateral is to be provided without consideration of any Minimum Transfer Amount and collateral haircut.
FinInstrm,,
FinInstrmGnlAttrbts,,
FinInstrmRptgTxRpt,,
FixedAmountCalculationDetails,,Type for reporting the detailed results of calculating a cash flow for a calculation period.  This is enhanced relative to the FpML-based cashflows structure to allow more information to be returned about daily compounded rates.
FixedPrice,,A predefined price accorded by the counterparties.
FixedPricePayout,,Represents a fixed price payout. There is no underlier associated with this payout type and is based on fixed pricing per a given unit (e.g. in commodities price per barrel)
FixedRateSpecification,,Type defining the specification for a fixed rate.
FloatingAmountCalculationDetails,,Type for reporting the detailed results of calculating a cash flow for a calculation period.  This is enhanced relative to the FpML-based cashflows structure to allow more information to be returned about daily compounded rates.
FloatingAmountEvents,,"A class to specify the ISDA terms relating to the floating rate payment events and the implied additional fixed payments, applicable to the credit derivatives transactions on mortgage-backed securities with pay-as-you-go or physical settlement."
FloatingAmountProvisions,,
FloatingRate,,
FloatingRateBase,,"A class defining a floating interest rate through the specification of the floating rate index, the tenor, the multiplier schedule, the spread, the qualification of whether a specific rate treatment and/or a cap or floor apply."
FloatingRateCalculationParameters,,Defines the structures needed to represent the calculation parameters for daily averaged and compounded modular rates as defined in the 2021 ISDA Definitions in Section 7. This type is used to represent modular computed rates in interestRatePayouts.
FloatingRateDefinition,,A data defining:  parameters associated with a floating rate reset. This data forms:  part of the cashflows representation of a stream.
FloatingRateIndex,,"Specification of an interest rate index which can change over time, e.g. the SONIA (Sterling Overnight Index Average) in the UK."
FloatingRateIndexCalculationDefaults,,This holds the rate calculation defaults applicable for a floating rate index.
FloatingRateIndexDefinition,,
FloatingRateIndexExternalMap,,A map for a single FRO to or from an equivalent or similar codes in a different standard such as ISO.
FloatingRateIndexExternalMappings,,Represents the mappings of FRO codes to other.
FloatingRateIndexFixingDetails,,This type holds parameters defining the fixingt time and offset for a floating rate index.
FloatingRateIndexFixingOffset,,This type holds parameters defining the normal fixing offset for a floating rate index.
FloatingRateIndexFixingTime,,This type holds parameters defining the normal fixing time for a floating rate index.
FloatingRateIndexIdentification,,
FloatingRateIndexMap,,A map for a single FRO to or from an equivalent or similar FRO in a different contractual definitions version.
FloatingRateIndexMappings,,This type defines mappings between FROs in different definitional versions.
FloatingRateProcessingDetails,,"Type for reporting the details of the rate treatment.  This could potentially be replaced by the existing FloatingRateDefinition type , but this is slightly more detailed."
FloatingRateProcessingParameters,,Type to hold the processing parameters that should be or were used to calculate a floating amount.  These parameters can vary over a schedule so this type holds the acutal values applicable to this calculation.
FloatingRateSettingDetails,,"Type for reporting the raw (untreated) observed or calculated rate for a calculation period.  If this is a calculated rate, it allows details of the observations and the resulting rate to be returned."
FloatingRateSpecification,,"A class to specify the floating interest rate by extending the floating rate definition with a set of attributes that specify such rate: the initial value specified as part of the trade, the rounding convention, the averaging method and the negative interest rate treatment."
ForeignExchangeRateIndex,,"Specification of a rate based on the exchange of a pair of cash assets in specific currencies, e.g. USD versus GBP."
FrenchLawAddendum,,A class to specify party specific elections when a Collateral Transfer Agreement is governed by French Law.
FrenchLawAddendumElection,,A class to specify party specific French Law Addendum language.
Frequency,,"A class for defining a date frequency, e.g. one day, three months, through the combination of an integer value and a standardized period value that is specified as part of an enumeration."
FroHistory,,FRO History
FutureValueAmount,,A class defining a currency and a future value date.
FxAdditionalTerms,,TransactionAdditionalTerms which apply to the CurrencyPair asset class.
FxBenchmarkObligationDefault,,
FxDisruptionEvents,,Additional Provisions for a Confirmation of an FX or Currency Option Transaction
FxDualExchangeRate,,
FxFeature,,A type for defining FX Features.
FxFixingDate,,Extends the Offset structure to specify an FX fixing date as an offset to dates specified somewhere else in the document.
FxHaircutCurrency,,"A class to specify the reference currency for the purpose of specifying the FX Haircut relating to a posting obligation, as being either the Termination Currency or an FX Designated Currency."
FxInconvertibilityOrNonTransferability,,
FxInformationSource,,Information source specific to Foreign Exchange products.
FxLinkedNotionalAmount,,A data to:  describe the cashflow representation for FX linked notionals.
FxLinkedNotionalSchedule,,A data to:  describe a notional schedule where each notional that applies to a calculation period is calculated with reference to a notional amount or notional amount schedule in a different currency by means of a spot currency exchange rate which is normally observed at the beginning of each period.
FxPriceSourceDisruption,,
FxRate,,"A class describing the rate of a currency conversion: pair of currency, quotation mode and exchange rate."
FxRateSourceFixing,,Describes a rate source to be fixed and the date the fixing occurs
FxSettlementRateSource,,The source of the Foreign Exchange settlement rate.
FxSpotRateSource,,A class defining the rate source and fixing time for an FX rate.
GeneralInconvertibility,,
GeneralNonTransferability,,
GeneralSimmElections,,A class to specify the ISDA SIMM as the Method for all Covered Transactions with respect to all Regimes.
GeneralTerms,,"A class specifying a set of non-monetary terms for the Credit Derivative Transaction, including the buyer and seller and selected items from the ISDA 2014 Credit Definition article II, such as the reference obligation and related terms. The CDM GeneralTerms class corresponds to the FpML GeneralTerms complex type, except that the effectiveDate and scheduledTerminationDate have been positioned as part of the InterestRatePayout class in the CDM instead of in GeneralTerms."
GlobalMasterRepoAgreement,,The set of elections that define a GMRA
GlobalMasterSecuritiesLendingAgreement,,The set of elections that define a GMSLA.
GovernmentalAuthorityDefault,,
GracePeriodExtension,,
HoldingAndUsingPostedCollateral,,Specifies the conditions that need to be satisfied before the Secured Party or Custodian acting on its behalf can hold and use posted collateral.
HoldingAndUsingPostedCollateralElection,,Specifies the parties' elections related to the holding and using of posted collateral.
Id,,
IdentifiedList,,"Attaches an identifier to a collection of objects, when those objects themselves can each be represented by an identifier. One use case is the representation of package transactions, where each component is a separate trade with its own identifier, and those trades are linked together as a package with its own identifier. The data type has been named generically rather than referring to 'packages' as it may have a number of other uses."
Identifier,,"A class to specify a generic identifier, applicable to CDM artefacts such as executions, contracts, lifecycle events and legal documents. An issuer can be associated with the actual identifier value as a way to properly qualify it."
Illiquidity,,
IndependentAmount,,"A class specifying the Independent Amount as the combination of a payer/receiver, a payment amount, a payment date and an associated payment calculation rule."
IndependentAmountRatings,,"A logical container designed to hold a set of related data. In this case, designed to hold a set of information required when Independent Amount is determined using credit ratings."
Index,,"An Index is an Observable which is computed based on the prices, rates or valuations of a number of assets that are tracked in a standardized way.  Examples include equity market indices as well as indices on interest rates, inflation and credit instruments."
IndexAdjustmentEvents,,Defines the specification of the consequences of Index Events
IndexBase,,Identifies an index by referencing an identifier.
IndexTransitionInstruction,,Defines the information needed to create a Index Transition Business Event.
IndexType,,Specification of an index.
Indx,,
IneligibleCreditSupport,,Identifies collateral that has been designated as not meeting the eligibility criteria set out in the agreement.
InflationIndex,,"Specification of an index that measures inflation in a specific market, e.g. the US Consumer Price Index."
InflationRateSpecification,,A data to:  specify the inflation rate.
InformationSource,,A class defining the source for a piece of information (e.g. a rate fix or an FX fixing). The attribute names have been adjusted from FpML to address the fact that the information is not limited to rates.
InitialFixingDate,,"A CDM class which purpose is to specify the initial fixing date either alongside the FpML interest rate specification as an offset of another date, or alongside the credit derivative specification as an unadjusted date."
Instruction,,Instruction to a function that will be used to perform a business event
Instrument,,A type of Asset that is issued by one party to one or more others.
InstrumentBase,,Defines the common attributes for all Instrument data types.
InterestAdjustment,,A class to specify whether the Interest Adjustment is applicable and what its periodicity is.
InterestAdjustmentPeriodicity,,A class to specify the Interest Adjustment periodicity.
InterestAmount,,A class to specify the application of Interest Amount with respect to the Delivery Amount and the Return Amount.
InterestAmountApplication,,A class to specify the application of Interest Amount with respect to the Delivery Amount and the Return Amount.
InterestRateCurve,,
InterestRateIndex,,An index based in interest rates or inflation rates in a certain market.
InterestRatePayout,,"A class to specify all of the terms necessary to define and calculate a cash flow based on a fixed, a floating or an inflation index rate. The interest rate payout can be applied to interest rate swaps and FRA (which both have two associated interest rate payouts), credit default swaps (to represent the fee leg when subject to periodic payments) and equity swaps (to represent the funding leg). The associated globalKey denotes the ability to associate a hash value to the InterestRatePayout instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
InterestShortFall,,A class to specify the interest shortfall floating rate payment event.
Inventory,,A data type that can be used to describe an inventory of securities.
InventoryRecord,,An individual piece of inventory. This represents a single security.
InvstmtDcsnPrsn,,
IssuerAgencyRating,,
IssuerCountryOfOrigin,,
IssuerName,,
JapaneseSecuritiesProvisions,,A class to specify Japanese Securities Provision elections.
JurisdictionRelatedTerms,,A class to specify terms jurisdiction related terms.
Lag,,The pricing period per calculation period if the pricing days do not wholly fall within the respective calculation period.
LegacyExposureScopeElection,,Specification of amendments to the calculation of Exposure in terms of the Transactions and Products covered.
LegacyIndependentAmount,,"Sets out the additional amount of collateral that is required to be delivered by that party irrespective of the mark-to-market exposure under the related Transactions. It may take the form of a fixed amount, or be determined using credit ratings."
LegacyIndependentAmountParty,,The party specific elections for the Independent Amount clause.
LegacyIndependentAmountRatingsBased,,Specifies that the Independent Amount is determined using a credit rating.
LegacyIndependentAmountRatingsXExposure,,Specifies that the Independent Amount is determined using both credit rating and exposure metrics.
LegacyResolutionAlternative,,Alternative procedures to those in the pre-print for resolving collateral related disputes.
LegalAgreement,,"The specification of a legal agreement between two parties, being negotiated or having been executed. This includes the baseline information and the optional specialised elections"
LegalAgreementBase,,"Specifies the legal agreement baseline information, being negotiated or having been executed. It excludes specialized elections"
LegalAgreementIdentification,,"Specifies the type of legal agreement, identified via a set of composable attributes: agreementName, publisher, governing law and version, e.g. ISDA 2013 Standard Credit Support Annex English Law."
LegalEntity,,"A class to specify a legal entity, with a required name and an optional entity identifier (such as the LEI)."
LimitApplicable,,
LimitApplicableExtended,,"A class to represent the CDM attributes that are not part of the FpML standard. Once broader usage is confirmed, it is expected that those two classes can be collapsed."
Lineage,,"A class to provide lineage information across lifecycle events through a pointer or set of pointers into the event(s), contract(s) and, possibly, payout components that the event is dependent on or relates to. As an example, if an contractFormation event is corrected, the correction event will have a lineage into the initial event, which takes the form of a globalKey into that initial contract formation event. Two referencing mechanisms are provided as part of the CDM: either the globalKey, which corresponds to the hash value of the CDM class which is referred to, or a reference qualifier which is meant to provide support for the ingestion of xml documents with id/href mechanisms. The CDM recommends the use of the globalKey and provides a default implementation which is accessible in the generated code through org.isda.cdm.globalKey.GlobalKeyHashCalculator. If implementers want to use an alternative hashing mechanism, the API in which they need to plug it is com.rosetta.model.lib.HashFunction."
ListedDerivative,,A securitized derivative on another asset.
ListingExchange,,Specifies a filter based on a stock exchange.
ListingSector,,Specifies a filter based on an industry sector.
Loan,,Identifies a loan by referencing an asset identifier and through an optional set of attributes.
LoanParticipation,,"A class to specify loan with a participation agreement whereby the buyer is capable of creating, or procuring the creation of, a contractual right in favour of the seller that provides the seller with recourse to the participation seller for a specified share in any payments due under the relevant loan which are received by the participation seller. ISDA 2003 Term: Direct Loan Participation."
LocationIdentifier,,Specifies a location identifier. An issuer and an identifier type can be associated with the actual identifier value as a way to properly qualify it.
MakeWholeAmount,,A class to specify the amount to be paid by the buyer of the option if the option is exercised prior to the Early Call Date (typically applicable to the convertible bond options).
MandatoryEarlyTermination,,A data to:  define an early termination provision for which exercise is mandatory.
MandatoryEarlyTerminationAdjustedDates,,A data defining:  the adjusted dates associated with a mandatory early termination provision.
ManualExercise,,"A class defining manual exercise, i.e. that the option buyer counterparty must give notice to the option seller of exercise."
MarginApproach,,A class for selection of Margin Approach.
MarginCallBase,,Represents common attributes required for Issuance and Response to a Margin Call action as a result of a demand for delivery or return of collateral determined under a legal agreement such as a credit support document or equivalent.
MarginCallExposure,,Represents attributes required for mark to market value or IM calculation value of the trade portfolio as recorded by the principle (in base currency).
MarginCallInstructionType,,"Represents enumeration values to specify the call notification type, direction, specific action type."
MarginCallIssuance,,Represents common attributes required for a Margin Call Issuance under a legal agreement such as a credit support document or equivalent.
MarginCallResponse,,Represents common attributes required for a Margin Call Response under a legal agreement such as a credit support document or equivalent.
MarginCallResponseAction,,"Specifies the margin call action details, including collateral to be moved and its direction."
MasterAgreement,,The set of elections that define an ISDA Master Agreement.
MasterAgreementBase,,A set of elections that can be shared across master agreement types - this should be built upon for specific contracts.
MasterAgreementClause,,Defines clauses that make up a Master Agreement.
MasterAgreementClauseVariant,,Sets the details for a specific variant associated to a clause in a Master Agreement.
MasterAgreementDatedAsOfDate,,Defines the dates agreed by the parties as the date of the Credit Support Annex or Credit Support Deed.
MasterAgreementElections,,A representation of a master agreement extended from a base agreement of shared elections.
MasterAgreementSchedule,,The set of elections which specify a Master Agreement.
MasterAgreementVariableSet,,Defines a type where additional variables associated to clauses and their variants can be described.
MasterConfirmationBase,,Legal agreement specification for General Terms and Elections that are applicable across multiple confirmations and are referenced by these confirmations.
MaterialChangeInCircumstance,,
Measure,,Defines a concrete measure as a number associated to a unit. It extends MeasureBase by requiring the value attribute to be present. A measure may be unit-less so the unit attribute is still optional.
MeasureBase,,Provides an abstract type to define a measure as a number associated to a unit. This type is abstract because all its attributes are optional. The types that extend it can specify further existence constraints.
MeasureSchedule,,"A set of measures, all in the same unit, where the values are defined through a schedule of steps. The initial value may be defined either as part of the steps, or using the single amount attribute."
Merger,,"Defines the underlier for both the Purchaser Company and the Acquired Compagny involved in Merger corporate action, as well as th respective price observation for each."
MessageInformation,,This class corresponds to the components of the FpML MessageHeader.model.
MinimumTransferAmount,,"Represents the threshold specified in the agreement below which collateral need not be delivered, and represents the smallest incremental value of exposure that must be reached before the parties are obliged to transfer collateral."
MinimumTransferAmountAmendment,,A class to specify whether Amendment to Minimum Transfer Amount language is applicable or not.
MinimumTransferAmountElection,,"Specifies the method by which the minimum transfer amount is defined, such as a fixed amount, ratings based, or an alternative basis set out in the agreement."
MinimumTransferAmountRatingsBased,,Defines that the Minimum Transfer Amount (MTA) is based on a Ratings condition(s).
Money,,Defines a monetary amount in a specified currency.
MoneyBound,,The money bound is defined as a money amount and whether the bound is inclusive.
MoneyRange,,"The money range defined as either a lower and upper money bound, or both."
MultipleCreditNotations,,Represetns a class to specify multiple credit notations alongside a conditional 'any' or 'all' qualifier.
MultipleDebtTypes,,Represents a class to specify multiple credit debt types alongside a conditional 'any' or 'all' qualifier.
MultipleExercise,,"A class defining multiple exercises. As defined in the 2000 ISDA Definitions, Section 12.4. Multiple Exercise, the buyer of the option has the right to exercise all or less than all the unexercised notional amount of the underlying swap on one or more days in the exercise period, but on any such day may not exercise less than the minimum notional amount or more than the maximum notional amount, and if an integral multiple amount is specified, the notional exercised must be equal to or, be an integral multiple of, the integral multiple amount. In FpML, MultipleExercise is built upon the PartialExercise.model."
MultipleValuationDates,,
Nationalization,,
NaturalPerson,,A class to represent the attributes that are specific to a natural person.
NaturalPersonRole,,A class to specify the role(s) that natural person(s) may have in relation to the contract.
NegativeCriteria,,Used to apply a NOT logic condition to a single Collateral Criteria.
New,,
Nm,,
NonDeliverableSubstitute,,
NonLegalEntity,,Specifies a non-legal entity that exists in the agreement with a defined relationship to a Legal entity to the agreement
NonNegativeQuantity,,"Specifies a quantity as a non-negative number, which condition is enforced through a data rule that only applies to the extending class."
NonNegativeQuantitySchedule,,
NonNegativeStep,,"A class defining a step date and non-negative step value pair. This step definitions are used to define varying rate or amount schedules, e.g. a notional amortisation or a step-up coupon schedule."
NonTransferableProduct,,"A data type to specify the financial product's economic terms, alongside the product identification and product taxonomy. The non-transferable product data type represents a product that can be traded (as part of a TradableProduct) but cannot be transferred to others.  It is meant to be used across the pre-execution, execution and (as part of the Contract) post-execution lifecycle contexts."
NotDomesticCurrency,,A class to specify the ISDA 2003 Term: Not Domestic Currency.
NoticeContactInformation,,"Specifies notice information including address and, optionally, an associated person. This type also supports the ISDA CSA representation as a single string, through the address attribute in Contact Information."
NoticeInformationElection,,Specifies the party reference and the associated notice and contact information.
NotificationTime,,Specifies the time by which a demand for the Transfer of Eligible Credit Support or Posted Credit Support needs to be made in order for the transfer to take place in accordance with the Transfer Timing provisions.
NotificationTimeElection,,A class to specify the notification time election by the respective parties to the agreement.
NumberBound,,The number bound is defined as a number and whether the bound is inclusive.
NumberRange,,"The number range defined as either a lower and upper number bound, or both."
Obligations,,A class to specify the underlying obligations of the reference entity on which protection is purchased or sold through the Credit Default Swap.
Observable,,"Specifies the object to be observed for a price, it could be an asset or a reference."
Observation,,"Defines a single, numerical value that was observed in the marketplace. Observations of market data are made independently to business events or trade life-cycle events, so data instances of Observation can be created independently of any other model type, hence it is annotated as a root type. Observations will be broadly reused in many situations, so references to Observation are supported via the 'key' annotation."
ObservationDate,,Specifies a single date on which market observations take place and specifies optional associated weighting.
ObservationDates,,Describes date details for a set of observation dates in parametric or non-parametric form.
ObservationEvent,,Specifies the necessary information to create any observation event.
ObservationIdentifier,,Defines the parameters needed to uniquely identify a piece of data among the population of all available market data.
ObservationInstruction,,Specifies inputs needed to process an observation.
ObservationParameters,,"Parameters on daily observed computed rates, specifically daily caps and floors. This type is used to represent modular computed rates in interestRatePayouts."
ObservationSchedule,,Specifies a single date on which market observations take place and specifies optional associated weighting.
ObservationShiftCalculation,,Parameters to describe the observation shift for a daily compounded or averaged floating rate. This type is used to represent modular computed rates in interestRatePayouts.
ObservationTerms,,Class containing terms that are associated with observing a price/benchmark/index across either single or multiple observations.
Offset,,"A class defining an offset used in calculating a new date relative to a reference date, e.g. calendar days, business days, commodity Business days, etc."
OffsetCalculation,,Defines business day shifts for daily componded or averaged rates.  This type is used for lookback and lockout rates. This type is used to represent modular computed rates in interestRatePayouts.
OneWayProvisions,,A class to specify whether One Way Provisions apply.
OptionalEarlyTermination,,A data defining:  an early termination provision where either or both parties have the right to exercise.
OptionalEarlyTerminationAdjustedDates,,A data defining:  the adjusted dates associated with an optional early termination provision.
OptionFeature,,Defines additional optional features that can be included in an option contract.
OptionPayout,,"The option payout specification terms. The associated globalKey denotes the ability to associate a hash value to the respective OptionPayout instantiation for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
OptionStrike,,Defines the strike price of an option.
OrdrTrnsmssn,,
OtherAgreement,,A class for defining an agreement executed between parties.
OtherAgreements,,The bespoke definition of other agreements or other credit support annex terms as specified by the parties to the agreement.
OtherAgreementTerms,,"A class to specify a related legal agreement. For example, ISDA 2016 Credit Support Annex for Initial Margin, paragraph 13, General Principles, (s): Other CSA and Japanese Law CSA (VM). | ISDA 2016 Credit Support Annex for Variation Margin, paragraph 13, (o): Other CSA."
OtherEligibleAndPostedSupport,,Specifies the Other Eligible Support elections.
OtherIndex,,Specification of a user-defined index that does not meet the criteria of other Index data types.
Othr,,
ParametricDates,,Defines rules for the dates on which the price will be determined.
PartialExercise,,"A class defining partial exercise. As defined in the 2000 ISDA Definitions, Section 12.3 Partial Exercise, the buyer of the option may exercise all or less than all the notional amount of the underlying swap but may not be less than the minimum notional amount (if specified) and must be an integral multiple of the integral multiple amount if specified."
Party,,"A class to specify a party, without a qualification as to whether this party is a legal entity or a natural person, although the model provides the ability to associate a person (or set of persons) to a party, which use case would imply that such party would be a legal entity (even if not formally specified as such)."
PartyAgreementIdentifier,,A class defining a legal agreement identifier issued by the indicated party.
PartyChangeInstruction,,"Specifies instruction to change the party on a trade. This primitive instruction is used in a number of scenarios including: clearing, allocation and novation. The instrution must include a trade identifier, because a change of party effectively results in a different trade."
PartyCustomisedWorkflow,,"A class to specify a party-related, non-standardized data in a generic form."
PartyIdentifier,,"Comprises an identifier and a source. The associated metadata key denotes the ability to associate a hash value to the PartyIdentifier instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
PartyOptionTerminationCurrency,,Specifies mechanism for Termination currency to be selected by the Non-defaulting Party/party which is not the Affected Party.
PartyReferencePayerReceiver,,Specifies the parties responsible for making and receiving payments defined by this structure.
PartyRole,,"A class to specify the role(s) that party(ies) may have in relation to the execution, contract or other legal agreement."
PartyTerminationCurrencySelection,,Specifies the termination currency to be used by a party when it is the Non-Defaulting Party or the Party which is not the Affected Party.
PassThrough,,Type which contains pass through payments.
PassThroughItem,,Class to represent a single pass through payment.
PayerReceiver,,Specifies the parties responsible for making and receiving payments defined by this structure.
PaymentCalculationPeriod,,A data defining:  the adjusted payment date and associated calculation period parameters required to calculate the actual or projected payment amount. This data forms:  part of the cashflow representation of a swap stream.
PaymentDates,,"Specifies the parameters to generate the payment date schedule, either through a parametric representation or by reference to specified dates."
PaymentDateSchedule,,"The payment dates when specified as relative to a set of dates specified somewhere else in the instance document/transaction, e.g. the valuation dates as typically the case for equity swaps, or when specified as a calculation period schedule."
PaymentDetail,,
PaymentDiscounting,,This class corresponds to the FpML PaymentDiscounting.model group for representing the discounting elements that can be associated with a payment.
PaymentRule,,"A class defining the payment calculation rule. As of FpML 5.10, percentage rule is the only calculation rule that has been specified as part of the standard."
Payout,,"Represents the set of future cashflow methodologies in the form of specific payout data type(s) which result from the financial product.  Examples: a trade in a cash asset will use only a settlement payout; for derivatives, two interest rate payouts can be combined to specify an interest rate swap; one interest rate payout can be combined with a credit default payout to specify a credit default swap."
PayoutBase,,A data type that contains the common attributes (e.g. payer and receiver parties) and validation conditions that apply across all payout types
PCDeliverableObligationCharac,,A class to specify the Partial Cash Deliverable Obligation Characteristic.
PercentageRule,,A class defining a content model for a calculation rule defined as percentage of the notional amount.
PerformancePayout,,"Contains the necessary specifications for all performance payouts, encompassing equity return, dividend, variance, volatility and correlation products."
PerformanceValuationDates,,Defines how and when a performance type option or performance type swap is to be valued.
Period,,A class to define recurring periods or time offsets.
PeriodBound,,Indicator to specify if the period bound is defined as a period and whether the bound is inclusive.
PeriodicDates,,A class for specifying a calculation period schedule.
PeriodRange,,"Indicates The period range defined as either a lower and upper period bound, or both."
PersonIdentifier,,"Comprises an identifier and a source. The associated metadata key denotes the ability to associate a hash value to the PersonIdentifier instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
PhysicalSettlementPeriod,,
PhysicalSettlementTerms,,Specifies Physical Settlement Terms characteristics for the settlement of a Credit Default Swap or Option.
PledgeeRepresentativeRider,,The terms of the Rider for the ISDA Euroclear 2019 Collateral Transfer Agreement with respect to the use of a Pledgee Representative attached to this Agreement.
Portfolio,,"A Portfolio represents an aggregation of multiple Positions, by describing the parameters that this Portfolio should be aggregated based on. The resulting PortfolioState is calculated using these aggregation parameters as inputs, by aggregating all the Events that are relevant to this Portfolio. The concept of Portfolio works at all levels in the model: from the highest for a given LegalEntity for instance, to the lowest to account for security substitutions in a secutity financing transaction. As such, Portfolio can be used either above or below the Contract level."
PortfolioReturnTerms,,"Specifies an individual type of return of a Performance Payout, when such individual return is part of an aggregation of multiple similar returns, at Performance Payout level."
PortfolioState,,"State-full representation of a Portfolio that describes all the positions held at a given time, in various states which can be either traded, settled, etc., with lineage information to the previous state"
Position,,A Position describes how much of a given Product is being held and constitutes the atomic element of a Portfolio.
PositionBase,,"Base class to describe a Position, which could be a group of products (e.g. trade portfolio) or a group of assets (e.g. collateral portfolio)."
PositionIdentifier,,"Defines a position identifier as a special case of the generic identifier type, that also includes the position identifier class."
PostedCreditSupportItem,,"Posted Credit Support item with corresponding Valuation Percentage, FX Haircut Percentage and any related disputed Posted Credit Support valuation."
PostingObligations,,A class to specify the collateral posting obligations of the security provider or security providers as specified in the corresponding agreement.
PostingObligationsElection,,Specifies the collateral posting obligations for the security provider party(ies).
Pric,,
Price,,Specifies a price as a single value to be associated to a financial product. This data type extends PriceSchedule and requires that only the amount value exists.
PriceComposite,,"Defines the inputs required to calculate a price as a simple composite of 2 other values. The inputs consist of 2 numbers and a simple arithmetic operator. This generic data type applies to a variety of use cases where a price is obtained by simple composition, e.g. dirty = clean + accrued (Bond), forward rate = spot rate + forward point (FX) etc."
PriceMateriality,,
PriceQuantity,,"Defines a settlement as an exchange between two parties of a specified quantity of an asset (the quantity) against a specified quantity of another asset (the price). The settlement is optional and can be either cash or physical. The quantity can additionally be specified in terms of one or more currency amounts. In the case of non-cash products, the settlement of the price/quantity would not be specified here and instead would be delegated to the product mechanics, as parameterised by the price/quantity values."
PriceReturnTerms,,
PriceSchedule,,"Specifies the price of a financial instrument in a trade as a schedule of measures. A price generically expresses the value of an exchange as a ratio: it measures the amount of one thing needed to be exchanged for 1 unit of another thing (e.g. cash in a specific currency in exchange for a bond or share). This generic representation can be used to support any type of financial price beyond just cash price: e.g. an interest rate, a foreign exchange rate, etc. This data type is generically based on a schedule and can also be used to represent a price as a single value."
PriceSource,,"Specifies a publication that provides the commodity price, including, where applicable, the details of where in the publication the price is published."
PriceSourceDisruption,,A data defining:  the parameters used to get a price quote to replace the settlement rate option that is disrupted.
PricingDates,,Specifies specific dates or parametric rules for the dates on which the price will be determined
PrimitiveInstruction,,A Primitive Instruction describes the inputs required to pass into the corresponding PrimitiveEvent function.
PrincipalPayment,,Any kind of principal payments when the amount is known and thus fixed.
